Timestamps,Signals
88017.12626328597,-2973.2737
88017.12726329488,-2971.843
88017.1282633038,-2915.5837
88017.12926331272,-2917.059
88017.13026332164,-2973.2512
88017.13126333056,-2971.3066
88017.13226333947,-2914.645
88017.1332633484,-2916.098
88017.13426335731,-2971.8655
88017.13526336623,-2970.0774
88017.13626337516,-2914.2427
88017.13726338407,-2916.3438
88017.13826339299,-2972.5583
88017.1392634019,-2969.8538
88017.14026341082,-2913.1028
88017.14126341975,-2914.9355
88017.14226342866,-2971.3066
88017.14326343758,-2968.8032
88017.14426344649,-2913.2146
88017.14526345542,-2915.3157
88017.14626346434,-2972.0667
88017.14726347325,-2969.675
88017.14826348217,-2912.2756
88017.14926349108,-2914.7344
88017.1502635,-2971.4856
88017.15126350893,-2968.9597
88017.15226351784,-2913.4604
88017.15326352676,-2915.8074
88017.15426353567,-2972.022
88017.1552635446,-2969.2056
88017.15626355351,-2913.1028
88017.15726356243,-2915.1592
88017.15826357136,-2971.016
88017.15926358027,-2969.608
88017.16026358919,-2912.8123
88017.1612635981,-2915.6062
88017.16226360702,-2971.575
88017.16326361595,-2969.8984
88017.16426362486,-2913.7957
88017.16526363378,-2916.3884
88017.16626364269,-2972.022
88017.16726365162,-2969.4292
88017.16826366054,-2913.4604
88017.16926366945,-2915.986
88017.17026367837,-2971.888
88017.17126368728,-2970.0103
88017.17226369621,-2914.7122
88017.17326370513,-2916.7683
88017.17426371404,-2972.5583
88017.17526372297,-2969.9656
88017.17626373188,-2914.3545
88017.1772637408,-2916.679
88017.17826374972,-2972.6477
88017.17926375863,-2970.0774
88017.18026376756,-2914.1309
88017.18126377647,-2917.1038
88017.18226378539,-2973.2737
88017.18326379432,-2970.1443
88017.18426380322,-2914.0415
88017.18526381215,-2916.9695
88017.18626382106,-2973.1394
88017.18726382998,-2970.6138
88017.1882638389,-2913.9297
88017.18926384782,-2916.0308
88017.19026385674,-2973.05
88017.19126386565,-2969.4739
88017.19226387457,-2913.4827
88017.1932638835,-2916.0308
88017.19426389241,-2971.843
88017.19526390133,-2969.4739
88017.19626391024,-2913.4604
88017.19726391917,-2915.785
88017.19826392809,-2972.8267
88017.199263937,-2970.8596
88017.20026394592,-2914.8237
88017.20126395483,-2916.9473
88017.20226396376,-2972.9382
88017.20326397268,-2970.815
88017.20426398159,-2914.7568
88017.20526399052,-2917.0144
88017.20626399943,-2972.5361
88017.20726400835,-2971.0386
88017.20826401727,-2915.4497
88017.20926402618,-2918.1765
88017.21026403511,-2974.7488
88017.21126404402,-2972.29
88017.21226405294,-2916.0532
88017.21326406187,-2918.467
88017.21426407078,-2974.2795
88017.2152640797,-2971.6868
88017.21626408861,-2915.8074
88017.21726409753,-2917.6401
88017.21826410646,-2974.0337
88017.21926411537,-2972.022
88017.22026412429,-2915.986
88017.2212641332,-2918.0425
88017.22226414212,-2973.944
88017.22326415105,-2970.9268
88017.22426415996,-2915.2932
88017.22526416888,-2916.7014
88017.22626417779,-2972.8713
88017.22726418672,-2970.7031
88017.22826419564,-2914.8015
88017.22926420455,-2916.433
88017.23026421347,-2972.8936
88017.23126422238,-2971.0608
88017.23226423131,-2914.198
88017.23326424023,-2915.8074
88017.23426424914,-2972.156
88017.23526425807,-2970.4126
88017.23626426698,-2913.9744
88017.2372642759,-2915.6956
88017.23826428482,-2971.575
88017.23926429373,-2968.9822
88017.24026430266,-2913.1697
88017.24126431157,-2914.6226
88017.24226432049,-2970.368
88017.24326432942,-2968.2222
88017.24426433833,-2912.857
88017.24526434725,-2914.8684
88017.24626435616,-2970.234
88017.24726436508,-2968.021
88017.24826437401,-2912.1416
88017.24926438292,-2914.6226
88017.25026439184,-2970.9937
88017.25126440075,-2968.848
88017.25226440968,-2912.5886
88017.2532644186,-2914.4438
88017.25426442751,-2970.4126
88017.25526443643,-2967.7751
88017.25626444534,-2911.5605
88017.25726445427,-2914.4438
88017.25826446319,-2970.5913
88017.2592644721,-2967.5068
88017.26026448102,-2911.9404
88017.26126448993,-2914.6675
88017.26226449886,-2970.5913
88017.26326450778,-2969.295
88017.26426451669,-2913.1475
88017.26526452562,-2915.3826
88017.26626453453,-2971.5525
88017.26726454345,-2969.2727
88017.26826455237,-2913.304
88017.26926456128,-2915.7178
88017.27026457021,-2971.4856
88017.27126457912,-2970.234
88017.27226458804,-2913.5051
88017.27326459697,-2914.9802
88017.27426460588,-2971.3513
88017.2752646148,-2969.3845
88017.27626462371,-2912.857
88017.27726463263,-2914.6897
88017.27826464156,-2971.2173
88017.27926465047,-2969.049
88017.28026465939,-2913.4158
88017.2812646683,-2915.7627
88017.28226467723,-2971.1501
88017.28326468614,-2968.3562
88017.28426469506,-2912.9016
88017.28526470398,-2915.0474
88017.2862647129,-2971.9548
88017.28726472182,-2969.5186
88017.28826473073,-2913.3708
88017.28926473965,-2916.3884
88017.29026474858,-2972.6255
88017.29126475748,-2969.9656
88017.29226476641,-2914.0415
88017.29326477532,-2916.9473
88017.29426478424,-2972.916
88017.29526479317,-2970.2114
88017.29626480208,-2913.9297
88017.297264811,-2916.7236
88017.29826481991,-2973.4749
88017.29926482883,-2970.234
88017.30026483776,-2915.2708
88017.30126484667,-2917.5955
88017.30226485559,-2972.6702
